Entry number,Primary image,Volume and folio,Volume,Type,Script,Occupations [Synthesised],Occupations stated in main metadata,Additional occupations & titles in body of deposition,Stated activities in body of text,Expertise or relationships evident in body of text,Date of deposition. MODERNIZED; ENGLISH CALENDAR ,Ship specified in which shipped or supplied to ,Ship master or skipper of captain ,Town and/or province and/or county to which primary ship belonged [with which deponent associated],COMPOSITE BURTHEN [tons],Details of ship's lading and her laders; including value of lading; and freight charges,Documents [letters; books; journals; notes; verbal contracts]; Making & Use of documents,"Language, reading & writing skills, quantitative skills; weighing; navigation skills; mapping skills; schools",Financial structures [bills of exchange; lending; assurance]; Late payments for freight; Legal agreements; Verbal contracts; Bonds; Debts; Bankruptcy; Currency exchange; Bullion; Trading profit calculations,Current country,Street/Hamlet,Parish/Precinct/Liberty,Town/Borough,"County, Province or Region",Age,Year of deposition,First name,Middle names,Surname,Voyage nodal points
15715,21091023_143311,KaggleTestSnippet_HCA_1361_f.47v_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Prince Christian,Andreas Peterson Bourse [master],,,,,,,England,,,N/A,,N/A,1648,Johas,,[?Garrnett],[Waterford [Ireland]/Middleburg [Zeeland; United Provinces]
15718,21091023_143325,KaggleTestSnippet_HCA_1361_f.49r_Two.PNG,HCA 13/61,Signature,Roman,Interpreter,N/A,Interpreter,,,,Prince Christian,Andreas Peterson Bourse [master],,,,,,,England,,,N/A,,N/A,1648,Johas,,[?Garrnett],[Waterford [Ireland]/Middleburg [Zeeland; United Provinces]
16194,21091023_152456,KaggleTestSnippet_HCA_1361_f.377r_Two.PNG,HCA 13/61,Signature,Roman,N/A; Possibly on ship [of the London of Flushing],N/A,Possibly on ship [of the London of Flushing],,,,London of Flushing,Cornelius Griminghe [alt. Cornelius Croninge] [master],Vlissingen [Zeeland; United Provicnes],,,,,,,,,N/A,,N/A,1649,Gerradt,,[?Joanson],NO VOYAGE DETAILS
16374,21091023_154358,KaggleTestSnippet_HCA_1361_f.461v.PNG,HCA 13/61,Signature,Roman,Gentleman,Gentleman,,,,,,,,,,,,,England,,,,Jersey,34,1649,Charles,,[?Marct],
15995,21091023_150054,KaggleTestSnippet_HCA_1361_f.211v_One.PNG,HCA 13/61,Signature,Roman,Mariner; Boatswain [of the Dove],Mariner,Boatswain [of the Dove],,,,Dove,John Acland [master and commander],,,LADING AT BARBADOS: SUGARS; COTTON WOOL; TOBACCO; GINGER; INDIGO; OTHER GOODS,"""Which hee knoweth because hee this examinate being then boatswaine of and in the said shipp did receive them there aboard by tale [110 elephants teeth] from the hands of the said Chatterley whoe delivered them out of his boate aboard the said shipp [the Dove] then lying at Carlisle bay in the Barbadoes, and upon receiving them this deponent entred the same in a booke by him kept for such use, which booke hee hath lately perused and findeth the number to be as aforesaid but for whoe accompt the said teeth were laden hee saith hee knoweth not and hee saith that about 83 of the said teeth were marked at the small end of every of them with one notch, and all thre st of the said teeth laden by the said Chatterly as aforesaid vidlicet about 27 thereof were marked thus [crosshatched mark], which hee knoweth because hee likewise entred the said marke in his said booke, which hee hath lately perused as aforesaid as aforesaid"" (HCA 13/61 f.211v)",,,England,Shadwell,Stepney,,Middlesex,34,1648,Thomas,,[?Minghull],[?/Barbados/London [England]]
15996,21091023_150054,KaggleTestSnippet_HCA_1361_f.211v_Two.PNG,HCA 13/61,Signature,Roman,Mariner; Boatswain [of the Dove],Mariner,Boatswain [of the Dove],,,,Dove,John Acland [master and commander],,,LADING AT BARBADOS: SUGARS; COTTON WOOL; TOBACCO; GINGER; INDIGO; OTHER GOODS,,,,England,Shadwell,Stepney,,Middlesex,34,1648,Thomas,,[?Minghull],[?/Barbados/London [England]]
16540,21091023_160337,KaggleTestSnippet_HCA_1361_f.532v_Two.PNG,HCA 13/61,Signature,Roman,Mariner; Trumpeter [on ship] [of the Content of London],Mariner,Trumpeter [on ship] [of the Content of London],,,,Content of London,Godfrey Jones [master],London [England],,LADING AT LONDON: IRON; LINNEN CLOTH; WOOLLEN CLOTH; STRONG WATERS; KNIVES; BEADS; OTHER SMALL COMMODITIES; LADING AT GUINEA: NEGRO SLAVES,,,,England,,Precinct of Saint Catherines near the Tower of London,,,30,1648,Richard,,[?PiNNer],[London [England]/Guinea/Barbados/Tortuga Islands/London [England]]
16046,21091023_150655,KaggleTestSnippet_HCA_1361_f.254r_Two.PNG,HCA 13/61,Signature,Roman,Armiger [Esquire]; Former Secretary of the Island of Barbados and resident there,Esquire,Former Secretary of the Island of Barbados and resident there,,,,Dolphin,,,,,,,,England,,Saint Martins in the Fields,,Middlesex,36,1649,Willielmus,,[?Porey],NO VOYAGE DETAILS
15714,21091023_143311,KaggleTestSnippet_HCA_1361_f.47v_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master's mate or Steersman [of the Prince Christian],Mariner,Master's mate or Steersman [of the Prince Christian],,,,Prince Christian,Andreas Peterson Bourse [master],,,,,,,United Provinces [Zeeland],,,Trevire,Zeeland,30,1648,Ludovicus,De,[?Zoote],[Waterford [Ireland]/Middleburg [Zeeland; United Provinces]
15717,21091023_143325,KaggleTestSnippet_HCA_1361_f.49r_One.PNG,HCA 13/61,Signature,Roman,Nauta [mariner]; Master's mate or Steersman [of the Prince Christian],Mariner,Master's mate or Steersman [of the Prince Christian],,,,Prince Christian,Andreas Peterson Bourse [master],,,,,,,United Provinces [Zeeland],,,Trevire,Zeeland,30,1648,Ludovicus,De,[?Zoote],[Waterford [Ireland]/Middleburg [Zeeland; United Provinces]
